Champion,Patch,Pos,GP,P%,B%,P+B%,W%,CTR%,K,D,A,KDA,KP,DTH%,FB%,GD10,XPD10,CSD10,CSPM,CS%P15,DPM,DMG%,GOLD%,WPM,WCPM
Aatrox,13.01,Top,1,0.033,0.000,0.033,1.000,1.000,6,3,9,5,0.652,0.200,0.000,815,1014,21,7.3,0.213,691.000,0.272,0.245,0.35,0.3
Ahri,13.01,Middle,1,0.033,0.033,0.067,1.000,0.000,3,0,5,8,0.471,0.000,0.000,-369,-431,-15,8,0.192,583.000,0.246,0.181,0.3,0.15
Ashe,13.01,ADC,1,0.033,0.733,0.933,1.000,0.000,3,1,14,17,0.680,0.125,0.000,-648,-469,-9,7.3,0.217,363.000,0.117,0.194,0.86,0.37
Azir,13.01,Support,1,0.033,0.300,0.767,0.000,1.000,0,5,3,0.6,0.375,0.200,0.000,92,-282,-5,0.7,0.026,280.000,0.137,0.085,1.5,0.49
Blitzcrank,13.01,Support,1,0.033,0.000,0.033,1.000,1.000,4,2,9,6.5,0.565,0.133,0.000,-523,265,11,1.1,0.029,189.000,0.074,0.104,1.74,0.55
Caitlyn,13.01,Support,1,0.033,0.400,0.633,0.000,0.000,5,2,6,5.5,0.733,0.087,1.000,523,-265,-11,2.2,0.104,622.000,0.179,0.184,3.12,1.32
Cassiopeia,13.01,Middle,1,0.033,0.100,0.133,1.000,1.000,3,3,5,2.7,0.727,0.231,0.000,-151,-29,-4,8,0.217,480.000,0.248,0.234,0.52,0.07
Gragas,13.01,Top,1,0.033,0.000,0.033,0.000,0.000,1,8,4,0.6,0.333,0.348,0.000,-815,-1014,-21,7.1,0.265,361.000,0.104,0.188,0.25,0.12
Kai'Sa,13.01,ADC,1,0.033,0.000,0.033,1.000,1.000,11,1,9,20,0.800,0.091,1.000,612,90,7,10.4,0.429,972.000,0.362,0.315,0.49,0.42
Kalista,13.01,Support,1,0.033,0.067,0.167,1.000,1.000,3,3,6,3,0.529,0.600,1.000,116,479,-1,1.2,0.053,366.000,0.154,0.127,1.97,0.72
Kassadin,13.01,Middle,1,0.033,0.833,0.867,0.000,1.000,0,1,4,4,0.571,0.091,0.000,-495,1,-11,8.7,0.262,593.000,0.309,0.213,0.34,0.3
Kindred,13.01,Jungle,1,0.033,0.267,0.300,1.000,1.000,3,1,7,10,0.588,0.200,0.000,-150,-225,7,7.5,0.207,308.000,0.126,0.195,1.02,0.71
LeBlanc,13.01,Middle,1,0.033,0.033,0.067,0.000,1.000,2,4,11,3.3,0.867,0.174,1.000,-90,-37,-5,6.5,0.194,902.000,0.259,0.178,0.37,0.12
Nautilus,13.01,Support,1,0.033,0.067,0.100,1.000,1.000,2,3,16,6,0.720,0.273,1.000,505,395,-9,1.3,0.033,147.000,0.055,0.101,1.72,0.55
Nocturne,13.01,Jungle,1,0.033,0.033,0.067,1.000,1.000,1,0,15,16,0.800,0.000,0.000,299,147,11,6.1,0.180,413.000,0.160,0.188,0.32,0.35
Orianna,13.01,Middle,1,0.033,0.067,0.100,0.000,1.000,2,1,1,3,0.600,0.059,0.000,369,431,15,9.8,0.353,539.000,0.262,0.296,0.45,0.15
Poppy,13.01,Jungle,1,0.033,0.000,0.033,0.000,1.000,1,1,1,2,0.333,0.111,0.000,92,153,-7,3.6,0.096,117.000,0.074,0.124,0.5,0.31
Pyke,13.01,Support,1,0.033,0.000,0.033,0.000,1.000,1,1,0,1,0.500,0.083,1.000,181,141,14,1.6,0.050,117.000,0.091,0.091,2.76,0.82
Renata Glasc,13.01,Support,1,0.033,0.000,0.033,1.000,1.000,0,2,12,6,0.750,0.333,0.000,-33,88,2,0.8,0.037,187.000,0.098,0.097,1.51,0.43
Seraphine,13.01,ADC,1,0.033,0.000,0.033,0.000,1.000,1,5,1,0.4,0.400,0.294,0.000,-742,-190,-19,7.5,0.244,383.000,0.186,0.215,0.26,0.15
Syndra,13.01,Middle,1,0.033,0.000,0.033,0.000,1.000,3,2,2,2.5,0.625,0.125,0.000,-14,-85,-12,9.3,0.283,619.000,0.315,0.267,0.38,0.09
Tristana,13.01,Middle,1,0.033,0.000,0.033,1.000,1.000,6,1,3,9,0.900,0.250,1.000,80,247,5,9.9,0.290,756.000,0.344,0.275,0.54,0.57
Varus,13.01,Support,1,0.033,0.300,0.567,1.000,1.000,3,5,13,3.2,0.727,0.625,0.000,325,258,3,1.2,0.040,550.000,0.199,0.125,2.35,0.71
Viego,13.01,Jungle,1,0.033,0.000,0.033,0.000,1.000,0,5,5,1,0.625,0.200,0.000,-115,-278,9,5.6,0.169,262.000,0.129,0.153,0.28,0.28
Zilean,13.01,Middle,1,0.033,0.067,0.100,1.000,1.000,4,0,12,16,0.800,0.000,1.000,498,185,-3,9.6,0.257,626.000,0.304,0.226,0.33,0.03
Alistar,13.01,-,0,0.000,0.033,0.033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Garen,13.01,-,0,0.000,0.033,0.033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Jarvan IV,13.01,-,0,0.000,0.033,0.033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Lissandra,13.01,-,0,0.000,0.033,0.033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Soraka,13.01,-,0,0.000,0.033,0.033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Udyr,13.01,-,0,0.000,0.033,0.033,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Maokai,13.03,Jungle,14,0.560,0.440,1.000,0.570,0.210,20,29,97,4,0.727,0.193,0.290,-40,-85,4.2,5.2,0.144,569.000,0.233,0.161,0,0.31
Zeri,13.03,ADC,13,0.520,0.360,0.880,0.540,0.150,72,19,36,5.7,0.725,0.137,0.150,156,177,5.5,10.4,0.345,663.000,0.294,0.297,0,0.49
Lulu,13.03,Support,12,0.480,0.040,0.520,0.500,0.420,7,18,88,5.3,0.736,0.144,0.330,125,28,2.2,0.6,0.020,120.000,0.052,0.086,0,0.38
